name,reg,year,month,nl_count_0,nl_count_4,nl_min_0,nl_min_4,nl_max_0,nl_max_4,nl_mean_0,nl_mean_4,nl_sum_0,nl_sum_4,nl_nodata_0,nl_nodata_4,nl_median_0,nl_median_4,nl_std_0,nl_std_4,tw_count,tw_n_settlements,Labor_index,Unemployment_index,Investment_index,Loan_index,Economy_index,Interest_rate_index,Inflation_index,Bankruptcy_index,Export_index,Mortgage_loan_index,Baggage_index,Holiday_index,BMW_index,Mercedes_index,McDonalds_index,Calvin_Klein_index,Gucci_index,Emigration_index,Washing_machine_index,Fridge_index,Sony_index,apple_index,Fitness_index,Recruitment_index,Travel_index,Savings_index,Computer_security_index,Unemployment_benefits_index,Fashion_index,MBA_degree_index,area_sq_km
Kirovohradska,UA_35,2010,3,,,,,,,,,,,,,,,,,0,50,44,0,0,0,76,0,44,0,0,0,0,14,45,0,0,67,0,0,0,0,45,0,0,0,74,0,0,0,18,0,24577.918
Krym,UA_43,2010,3,,,,,,,,,,,,,,,,,0,14,100,0,27,0,100,0,20,0,32,0,0,29,49,0,0,0,0,100,29,15,40,62,0,0,0,0,47,0,40,0,25558.451
Kyivska,UA_32,2010,3,,,,,,,,,,,,,,,,,0,110,62,0,45,0,42,0,0,0,54,0,0,5,15,43,0,0,0,0,43,0,0,36,0,0,0,0,0,0,63,0,28131.504
Kyivska City,UA_30,2010,3,,,,,,,,,,,,,,,,,0,1,86,36,88,13,99,18,80,62,81,42,16,10,22,55,6,34,19,71,51,49,77,24,68,21,65,31,76,7,100,49,834.25281
Luhanska,UA_09,2010,3,,,,,,,,,,,,,,,,,0,60,19,100,0,0,39,0,0,86,0,0,81,19,21,0,0,0,0,0,0,58,0,36,0,0,36,0,0,0,11,0,26687.729
Lvivska,UA_46,2010,3,,,,,,,,,,,,,,,,,0,14,64,100,75,5,72,90,54,69,77,0,46,16,13,30,22,22,13,0,24,19,97,25,17,0,24,0,84,43,100,83,21823.723
Mykolaivska,UA_48,2010,3,,,,,,,,,,,,,,,,,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24015.756
Odeska,UA_51,2010,3,,,,,,,,,,,,,,,,,0,44,86,73,66,13,82,0,51,23,62,56,100,15,12,100,7,67,14,47,46,15,75,10,74,0,50,0,68,0,43,47,33347.504
Poltavska,UA_53,2010,3,,,,,,,,,,,,,,,,,0,52,97,0,91,0,86,0,97,43,0,0,0,16,24,17,42,79,0,0,14,27,41,91,25,0,43,0,26,0,73,0,28722.865
Rivnenska,UA_56,2010,3,,,,,,,,,,,,,,,,,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20053.172
Sevastopilska,UA_40,2010,3,,,,,,,,,,,,,,,,,0,1,71,64,0,0,23,0,0,68,0,0,0,25,0,37,0,0,0,0,100,29,0,0,100,0,43,0,0,0,47,0,57.44772
Sumska,UA_59,2010,3,,,,,,,,,,,,,,,,,0,38,100,0,100,0,80,0,0,0,70,0,0,14,39,100,0,0,71,0,0,27,0,0,49,0,35,0,0,0,31,0,23842.014
Ternopilska,UA_61,2010,3,,,,,,,,,,,,,,,,,0,18,42,0,0,0,38,0,50,100,92,0,0,9,20,15,0,0,0,0,0,33,50,40,88,0,0,0,0,0,22,0,13833.407
Vinnytska,UA_05,2010,3,,,,,,,,,,,,,,,,,0,38,60,0,0,0,93,0,100,0,0,0,0,16,54,0,0,0,0,0,0,27,0,69,0,0,35,0,0,0,0,0,26490.973
Volynska,UA_07,2010,3,,,,,,,,,,,,,,,,,0,14,73,0,0,0,32,0,65,45,41,0,0,13,51,89,0,0,65,0,31,100,0,0,0,0,24,100,32,0,91,0,20149.451
Zakarpatska,UA_21,2010,3,,,,,,,,,,,,,,,,,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,63,0,0,0,52,0,12758.455
Zaporizka,UA_23,2010,3,,,,,,,,,,,,,,,,,0,48,94,0,68,0,32,0,49,27,94,0,0,14,16,49,19,0,36,0,0,17,63,29,0,0,26,0,30,0,36,0,27180.066
Zhytomyrska,UA_18,2010,3,,,,,,,,,,,,,,,,,0,23,88,0,0,0,66,0,0,0,0,0,0,19,31,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,51,0,29838.738
Cherkaska,UA_71,2010,4,,,,,,,,,,,,,,,,,0,57,100,42,57,0,29,0,32,100,0,0,0,21,53,41,56,69,0,0,31,17,27,0,37,0,18,0,42,0,57,0,20939.982
Chernihivska,UA_74,2010,4,,,,,,,,,,,,,,,,,0,45,53,0,32,0,55,0,0,0,46,0,0,6,51,31,0,0,0,0,46,54,23,30,43,0,0,0,100,0,100,0,31895.225
Chernivetska,UA_77,2010,4,,,,,,,,,,,,,,,,,0,11,24,0,0,52,82,0,100,99,36,99,0,9,20,29,0,0,0,0,0,29,33,29,0,0,0,0,100,0,100,0,8094.667
Dnipropetrovska,UA_12,2010,4,,,,,,,,,,,,,,,,,0,96,100,24,48,7,36,64,89,32,45,35,100,13,26,68,25,32,0,23,16,30,8,48,66,0,39,0,52,0,74,0,31910.455
Donetska,UA_14,2010,4,,,,,,,,,,,,,,,,,0,49,52,25,100,12,51,0,48,55,94,0,54,18,15,31,34,71,13,22,6,20,47,35,35,20,33,28,34,0,61,55,26499.604
Ivano-Frankivska,UA_26,2010,4,,,,,,,,,,,,,,,,,0,88,47,78,36,0,31,0,28,100,42,0,0,13,55,38,0,0,0,0,0,78,0,0,0,0,23,0,0,0,23,0,13933.037
Kharkivska,UA_63,2010,4,,,,,,,,,,,,,,,,,0,37,85,46,80,12,87,0,88,43,15,0,88,23,46,29,64,0,0,37,20,32,46,38,21,0,80,80,40,0,95,72,31434.879
Khersonska,UA_65,2010,4,,,,,,,,,,,,,,,,,0,40,44,0,0,38,27,93,48,0,100,0,0,0,38,0,0,0,0,0,100,87,49,0,0,0,34,0,0,0,31,0,26656.969
Khmelnytska,UA_68,2010,4,,,,,,,,,,,,,,,,,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20627.613
Kirovohradska,UA_35,2010,4,,,,,,,,,,,,,,,,,0,50,51,0,0,0,29,0,100,0,0,0,0,8,0,0,0,0,0,0,0,39,52,0,100,0,42,0,91,0,42,0,24577.918
Krym,UA_43,2010,4,,,,,,,,,,,,,,,,,0,14,93,0,0,34,86,0,40,0,100,0,0,22,59,31,0,0,0,0,91,0,10,42,41,89,31,0,0,0,27,0,25558.451
Kyivska,UA_32,2010,4,,,,,,,,,,,,,,,,,0,110,25,0,0,0,100,0,86,0,0,0,0,26,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,28131.504
Kyivska City,UA_30,2010,4,,,,,,,,,,,,,,,,,0,1,99,99,100,11,99,20,77,98,74,16,18,13,25,51,9,19,13,59,38,34,58,28,49,28,78,26,73,15,69,24,834.25281
Luhanska,UA_09,2010,4,,,,,,,,,,,,,,,,,0,60,69,0,58,0,12,0,0,0,0,93,100,11,13,39,59,0,0,100,56,0,0,44,0,0,15,0,0,0,39,0,26687.729
Lvivska,UA_46,2010,4,,,,,,,,,,,,,,,,,0,14,100,74,77,0,70,100,54,96,23,33,0,16,22,66,8,25,0,23,46,34,59,22,28,14,38,22,93,0,49,46,21823.723
Mykolaivska,UA_48,2010,4,,,,,,,,,,,,,,,,,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24015.756
Odeska,UA_51,2010,4,,,,,,,,,,,,,,,,,0,44,67,100,79,21,76,0,52,72,52,0,20,18,25,74,7,0,0,72,61,16,48,21,45,32,42,0,47,48,100,0,33347.504
Poltavska,UA_53,2010,4,,,,,,,,,,,,,,,,,0,52,90,0,27,0,100,0,38,100,0,0,0,9,14,40,0,0,0,0,33,79,32,42,58,0,100,0,31,0,99,0,28722.865
Rivnenska,UA_56,2010,4,,,,,,,,,,,,,,,,,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20053.172
Sevastopilska,UA_40,2010,4,,,,,,,,,,,,,,,,,0,1,27,0,0,0,52,0,0,0,0,0,0,10,0,43,0,0,0,0,0,100,0,21,77,0,100,0,0,0,82,0,57.44772
Sumska,UA_59,2010,4,,,,,,,,,,,,,,,,,0,38,98,100,75,0,100,0,88,0,88,0,0,17,0,63,0,0,0,0,0,34,0,44,0,0,88,88,0,0,39,100,23842.014
Ternopilska,UA_61,2010,4,,,,,,,,,,,,,,,,,0,18,24,0,0,0,43,0,55,0,0,0,0,26,22,0,0,0,0,0,0,73,0,0,0,0,68,0,0,0,24,0,13833.407
Vinnytska,UA_05,2010,4,,,,,,,,,,,,,,,,,0,38,95,48,0,0,33,0,35,0,0,0,0,17,0,95,0,0,0,0,0,28,0,73,0,0,0,0,0,0,32,0,26490.973
Volynska,UA_07,2010,4,,,,,,,,,,,,,,,,,0,14,54,35,100,0,35,0,0,49,0,0,0,18,42,0,0,0,71,0,0,0,0,54,0,0,80,0,0,0,14,0,20149.451
Zakarpatska,UA_21,2010,4,,,,,,,,,,,,,,,,,0,31,100,0,100,0,45,0,90,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,12758.455
Zaporizka,UA_23,2010,4,,,,,,,,,,,,,,,,,0,48,93,90,100,0,47,0,55,0,78,0,0,20,35,0,62,0,0,26,0,13,23,63,52,100,14,90,0,0,53,100,27180.066
Zhytomyrska,UA_18,2010,4,,,,,,,,,,,,,,,,,0,23,32,87,0,0,48,0,0,0,0,0,0,68,89,0,0,0,0,0,0,93,95,50,0,0,100,0,0,0,0,0,29838.738
Cherkaska,UA_71,2010,5,,,,,,,,,,,,,,,,,0,57,65,0,20,0,77,0,100,0,29,0,0,25,56,22,59,30,69,0,32,0,0,22,39,0,57,0,44,0,12,0,20939.982
